,Time,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
0,0.0,0.0005075,0.0005027,0.0005035,0.0005018,0.0005035,0.0005073,0.0005007,0.0005069,0.0005058,0.0005032,0.0005073,0.0005053,0.0005077,0.0005061,0.0005002
1,0.1,0.1379653,0.1419526,0.1271927,0.1215576,0.1288877,0.188291,0.1540696,0.1455745,0.1368092,0.1471082,0.2113397,0.1857212,0.1886293,0.1510541,0.1773427
2,0.2,0.1746198,0.1716649,0.1448983,0.1509776,0.1560141,0.2355537,0.1690307,0.1729187,0.1508494,0.1657694,0.2609625,0.2203248,0.2118468,0.1631685,0.1837952
3,0.3,0.1890618,0.1853832,0.1491509,0.1584058,0.1689221,0.2556187,0.1951972,0.2066359,0.1801739,0.1823841,0.2847876,0.238401,0.2327709,0.1753027,0.1903857
4,0.4,0.1941397,0.2057653,0.1613882,0.166945,0.1709977,0.2817177,0.2135891,0.2276249,0.1732124,0.1842117,0.3107236,0.255115,0.230159,0.1823488,0.1839729
5,0.5,0.2197452,0.2088825,0.1745521,0.1860949,0.1776393,0.2962855,0.2220016,0.2333059,0.2000507,0.1844675,0.3243755,0.2732773,0.2517534,0.1833569,0.2001311
6,0.6,0.2238504,0.2015063,0.1875379,0.1925227,0.1742715,0.3304921,0.2469038,0.2385111,0.204395,0.2080967,0.32762,0.2706182,0.2666732,0.193384,0.2100988
7,0.7,0.2412538,0.2066324,0.1981563,0.1884296,0.1836792,0.3500635,0.2484168,0.245534,0.2058611,0.2202393,0.3322635,0.2691487,0.2955991,0.2125508,0.2280517
8,0.8,0.2552958,0.2216541,0.1892722,0.1969184,0.188387,0.3564635,0.2654548,0.2466,0.2217993,0.2128061,0.3510031,0.2829652,0.2908261,0.2262172,0.2249701
9,0.9,0.2724664,0.2285797,0.1978349,0.2011914,0.1942414,0.3767435,0.2670187,0.2567595,0.2115499,0.2095165,0.3332288,0.2924573,0.2728993,0.2216807,0.2308073
10,1.0,0.2901913,0.2473436,0.2139843,0.2163858,0.1780267,0.3475994,0.2862588,0.2612397,0.2039185,0.2023517,0.345315,0.3151,0.3034183,0.2405025,0.2530857
11,1.1,0.2925024,0.2337398,0.2164595,0.2042549,0.1932444,0.3665664,0.2861121,0.2553776,0.209982,0.2115769,0.3224311,0.3289513,0.296143,0.2485985,0.2297897
12,1.2,0.2966729,0.2358682,0.2090355,0.2255123,0.1928564,0.3783357,0.2813909,0.2681253,0.2105609,0.2275635,0.3452959,0.3482094,0.3206992,0.2345492,0.2399544
13,1.3,0.2922134,0.2440428,0.2131785,0.2194397,0.2024222,0.4000384,0.2778367,0.277912,0.2201831,0.230281,0.3606159,0.3818295,0.3254642,0.2527348,0.2509446
14,1.4,0.3192618,0.23845,0.2078673,0.2284674,0.1984291,0.382651,0.2811642,0.2975966,0.2185701,0.2454672,0.3765985,0.3857106,0.3157384,0.2621199,0.2611078
15,1.5,0.3046674,0.2662115,0.2307313,0.2035586,0.2070752,0.4177346,0.2982754,0.2847774,0.2111772,0.2411115,0.3788338,0.3777503,0.3370981,0.2708964,0.2529792
16,1.6,0.3233359,0.2518386,0.2257888,0.2026366,0.2073333,0.4196425,0.295669,0.2944378,0.230545,0.233925,0.3677457,0.3612945,0.3140253,0.2683234,0.2613589
17,1.7,0.3307099,0.2551271,0.2389465,0.2224074,0.2125872,0.4118825,0.3008299,0.2845519,0.223094,0.2470505,0.3682386,0.3734992,0.3137142,0.2616495,0.2670855
18,1.8,0.3317496,0.2577924,0.2300451,0.2275136,0.2028288,0.4176795,0.3342062,0.2785132,0.2333828,0.2272113,0.3770558,0.363007,0.320909,0.2779397,0.2471407
19,1.9,0.3291814,0.2591551,0.2375067,0.2266166,0.2075666,0.4070029,0.3180584,0.2709853,0.2412595,0.2271559,0.3601603,0.3618603,0.3068475,0.2790948,0.2646478
20,2.0,0.3498894,0.2646523,0.2377246,0.2182993,0.2104997,0.4040278,0.3209736,0.2832637,0.2526517,0.2325151,0.3652367,0.3607951,0.3220917,0.2836987,0.2516225
21,2.1,0.3647707,0.2732671,0.2375183,0.2306788,0.2245443,0.402566,0.3263462,0.2823875,0.256047,0.2470812,0.3697116,0.3881742,0.3266142,0.2746139,0.246317
22,2.2,0.3806679,0.2773765,0.2398899,0.2311768,0.2231634,0.4028825,0.3314821,0.2802984,0.2678271,0.258463,0.3610381,0.3819792,0.2977868,0.2690873,0.2626052
23,2.3,0.3896404,0.2752415,0.2449173,0.2299885,0.2281507,0.3972256,0.3277253,0.2794403,0.2477031,0.2478405,0.3627391,0.3830395,0.2990763,0.277857,0.2599134
24,2.4,0.3845387,0.291372,0.2595536,0.2339088,0.230036,0.4114602,0.3287692,0.282566,0.2577747,0.2538432,0.3720177,0.3908104,0.3082695,0.2642241,0.2635487
25,2.5,0.3942882,0.2964746,0.2682465,0.2231447,0.2341432,0.419585,0.3451521,0.2827477,0.2582285,0.2529398,0.3587578,0.3794323,0.333219,0.2636032,0.2527764
26,2.6,0.3882969,0.2925667,0.2607217,0.2184688,0.2228706,0.4391845,0.3502808,0.2881104,0.2452374,0.2478456,0.3717417,0.3734739,0.3326414,0.2651431,0.2496914
27,2.7,0.3992011,0.2971973,0.246233,0.2212049,0.2275132,0.457954,0.3399112,0.2905434,0.2585552,0.2394789,0.372178,0.390539,0.3271703,0.2669649,0.2410058
28,2.8,0.3853194,0.303271,0.254638,0.2181885,0.237503,0.4546285,0.3559598,0.3088213,0.2501666,0.2386826,0.3716426,0.3814218,0.3409664,0.2593719,0.2450556
29,2.9,0.3948931,0.3070711,0.2511195,0.2221543,0.2377784,0.4301522,0.3447126,0.300659,0.2521447,0.2428297,0.3567945,0.3671537,0.3693669,0.2681903,0.2534666
30,3.0,0.3766479,0.3168147,0.2584569,0.225526,0.2362056,0.4523104,0.339761,0.2888036,0.2535715,0.2563846,0.3568002,0.3748855,0.3439971,0.266808,0.253359
31,3.1,0.3915531,0.3031095,0.2551413,0.2323311,0.2287305,0.4769118,0.3310752,0.2970782,0.2441135,0.2449323,0.3586667,0.3617228,0.3405771,0.283509,0.2699444
